Means,STDs,Min,Max,Num_samples
11.945811027837234,0.5325775226960332,11.025,12.6125,934.0
11.958547486033535,0.5248943770727579,11.0375,12.625,895.0
11.955837988826843,0.5300510021557655,11.0125,12.6375,895.0
11.960335738068812,0.5365438831480532,11.025,12.6625,901.0
11.956611111111071,0.5307753226617677,11.05,12.625,900.0
11.973790322580555,0.5077501009966866,11.075,12.6,899.0
11.962013348164591,0.5361609994254736,11.025,12.65,899.0
11.956708333333287,0.5320677701190365,11.025,12.6,900.0
11.957972222222182,0.5261144607522518,11.05,12.6,900.0
11.962792968750014,0.5260627889597955,11.025,12.6375,896.0
11.956055555555514,0.5306149335440091,11.0375,12.625,900.0
11.956742508324044,0.5344347109713549,11.025,12.625,901.0
11.960678531701856,0.5305613266871374,11.0375,12.675,899.0
11.956118493909129,0.5303424408520436,11.025,12.625,903.0
12.019172297297372,0.5124889985769056,11.0375,12.7375,888.0
11.960444444444343,0.5328707222090229,11.0375,12.6,900.0
11.966592178770822,0.5285221747481416,11.0375,12.625,895.0
11.965813758389285,0.528323309978357,11.0375,12.6125,894.0
11.96259776536318,0.5296538802660725,11.0375,12.6375,895.0
11.963724944320662,0.5320178768143002,11.0375,12.625,898.0
11.964738598442723,0.5316932296934198,11.0375,12.6375,899.0
11.97926663031625,0.4946434835601095,11.05,12.6125,917.0
11.962999445060952,0.5266344533921895,11.0375,12.6625,901.0
11.989855072463723,0.5522647605010811,11.025,12.6875,897.0
11.962333518312992,0.527506226954027,11.05,12.6125,901.0
11.967018909899899,0.529105130444746,11.0375,12.6375,899.0
11.968645251396536,0.5289728117680924,11.025,12.625,895.0
11.965966035634791,0.5284443268625229,11.025,12.625,898.0
11.961184939091925,0.52933142956262,11.0375,12.6375,903.0
11.989015572858731,0.5499341591305256,11.0375,12.7625,899.0
11.970893854748661,0.5262378582573772,11.0375,12.6,895.0
11.967007278835336,0.5315069433531486,11.025,12.6625,893.0
11.966087319243632,0.5298478906145474,11.025,12.6,899.0
11.968812709030146,0.5372822939871084,11.025,12.6625,897.0
11.967558528428107,0.531424620122118,11.0375,12.625,897.0
11.958063186813218,0.5237160081801568,11.0375,12.625,910.0
11.963555555555567,0.5321115065656852,11.0375,12.6375,900.0
11.965181564245825,0.5336831225838825,11.025,12.65,895.0
11.992564174107068,0.5103146855414957,11.025,12.6125,896.0
11.970377094972054,0.5266586842205571,11.025,12.6375,895.0
11.962486111111092,0.526821783346762,11.0125,12.625,900.0
12.00838553530757,0.4905517426872285,11.0375,12.625,878.0
11.97049499443818,0.5329035138200263,11.0375,12.625,899.0
11.970016703786078,0.5287747319151864,11.025,12.6,898.0
11.988526637069846,0.5048211871111812,11.05,12.6625,901.0
11.963785951327488,0.5287127840410112,11.0375,12.6125,904.0
11.967845211581297,0.5258645723735355,11.0375,12.625,898.0
11.963194444444492,0.5279706367735046,11.0375,12.65,900.0
11.9629731861198,0.4870778599450816,11.0375,12.575,951.0
12.02697775030903,0.5256334852030595,11.025,12.6625,809.0
11.972192737430234,0.5285186661114056,11.0375,12.6625,895.0
11.967917133258661,0.5232502882958007,11.0375,12.625,893.0
11.96713687150833,0.5285432996039182,11.0375,12.6,895.0
11.969813681868766,0.5287772828489737,11.05,12.6125,899.0
11.970493861607185,0.5316538575651971,11.025,12.65,896.0
11.967330178173604,0.5257663678149024,11.05,12.6125,898.0
11.9886805555556,0.5478886458010304,11.0375,12.725,900.0
11.97366220735786,0.5283345892747694,11.05,12.6125,897.0
11.963013888888897,0.5289777074607429,11.025,12.6625,900.0
11.966782150776105,0.5292019009693733,11.0375,12.6375,902.0
11.959513274336393,0.5278806807533614,11.025,12.6125,904.0
11.971144209354053,0.5196409800357745,11.05,12.625,898.0
11.974134078212273,0.5356853937371509,11.0375,12.6375,895.0
11.97124301675977,0.5279208176443686,11.0375,12.6625,895.0
11.975739397321515,0.5307581711102589,11.0375,12.675,896.0
11.965921787709446,0.534428155179212,11.025,12.65,895.0
11.96775583982192,0.5347551670668774,11.0375,12.6625,899.0
11.955419389978113,0.5263386252753744,11.025,12.6375,918.0
11.966273584905583,0.5318755935485096,11.025,12.6,901.0
11.961764705882292,0.5294641359354082,11.0375,12.6125,901.0
11.970511744966428,0.5239206866693957,11.0375,12.6125,894.0
11.964567147613696,0.5267115552469233,11.05,12.6625,901.0
11.969855394883208,0.5274969323012515,11.05,12.625,899.0
11.964719755826886,0.5346188262972936,11.0375,12.65,901.0
11.967561179087797,0.5330098452555684,11.025,12.625,899.0
11.992637362637318,0.5066917255719826,11.0375,12.625,910.0
11.968472222222204,0.5319725024733096,11.0375,12.6875,900.0
11.973414905450385,0.5200081416831646,11.05,12.6625,899.0
11.962721975582602,0.5261438788274994,11.05,12.65,901.0
11.970536707452672,0.528470536342817,11.05,12.625,899.0
11.970791666666615,0.5419882054911758,11.0375,12.6375,900.0
