,RO_VALUE,LAYER_OR_BOUNDARY
0,19980,layer
1,20007,layer
2,19987,layer
3,20000,layer
4,20018,layer
5,19992,layer
6,19980,layer
7,19980,layer
8,20000,layer
9,20000,layer
10,20004,layer
11,19980,layer
12,20000,layer
13,19991,layer
14,20010,layer
15,20000,layer
16,20004,layer
17,20000,layer
18,20000,layer
19,20000,layer
20,20000,layer
21,20000,layer
22,19993,layer
23,19980,layer
24,19984,layer
25,19984,layer
26,19984,layer
27,19992,layer
28,19984,layer
29,20000,layer
30,19976,layer
31,19998,layer
32,19980,layer
33,19978,layer
34,20000,layer
35,20000,layer
36,20000,layer
37,20006,layer
38,20007,layer
39,19980,layer
40,20000,layer
41,20000,layer
42,19986,layer
43,20000,layer
44,19968,layer
45,20000,layer
46,19970,layer
47,19992,layer
48,19986,layer
49,19997,layer
50,19980,layer
51,19984,layer
52,20000,layer
53,20000,layer
54,20000,layer
55,19980,layer
56,19980,layer
57,19984,layer
58,19984,layer
59,20000,layer
60,20006,layer
61,20000,layer
62,20000,layer
63,19980,layer
64,19980,layer
65,20004,layer
66,20000,layer
67,20000,layer
68,20000,layer
69,19980,layer
70,19940,layer
71,20000,layer
72,20006,layer
73,20020,layer
74,20000,layer
75,19980,layer
76,19960,layer
77,19980,layer
78,19980,layer
79,19980,layer
80,19967,layer
81,19960,layer
82,19979,layer
83,19980,layer
84,19992,layer
85,19980,layer
86,19966,layer
87,19960,layer
88,19980,layer
89,19984,layer
90,20000,layer
91,19997,layer
92,19980,layer
93,19900,layer
94,19860,layer
95,19860,layer
96,19880,layer
97,19900,layer
98,19920,layer
99,19942,layer
100,20005,layer
101,19996,layer
102,19960,layer
103,19960,layer
104,19960,layer
105,19960,layer
106,19980,layer
107,20000,layer
108,19980,layer
109,19944,layer
110,19940,layer
111,19958,layer
112,19969,layer
113,19980,layer
114,19964,layer
115,19960,layer
116,19960,layer
117,19980,layer
118,20020,layer
119,20024,layer
120,20020,layer
121,20006,layer
122,19980,layer
123,19960,layer
124,19940,layer
125,19958,layer
126,19980,layer
127,19980,layer
128,19988,layer
129,20004,layer
130,20010,layer
131,19984,layer
132,19980,layer
133,19980,layer
134,20000,layer
135,19980,layer
136,19980,layer
137,20000,layer
138,19984,layer
139,19987,layer
140,19900,layer
141,19900,layer
142,19900,layer
143,19920,layer
144,19960,layer
145,19978,layer
146,19971,layer
147,19980,layer
148,19960,layer
149,19960,layer
150,19964,layer
151,19944,layer
152,19951,layer
153,19964,layer
154,19960,layer
155,19960,layer
156,19960,layer
157,19944,layer
158,19963,layer
159,19964,layer
160,19960,layer
161,19960,layer
162,19980,layer
163,19980,layer
164,19960,layer
165,20047,layer
166,20039,layer
167,20014,layer
168,19980,layer
169,19960,layer
170,19980,layer
171,20000,layer
172,20000,layer
173,19974,layer
174,19960,layer
175,19940,layer
176,19960,layer
177,19984,layer
178,20000,layer
179,19984,layer
180,19980,layer
181,20000,layer
182,19980,layer
183,19980,layer
184,19980,layer
185,19987,layer
186,19922,layer
187,19848,layer
188,19860,layer
189,19880,layer
190,19898,layer
191,19920,layer
192,19960,layer
193,19958,layer
194,19960,layer
195,19960,layer
196,19960,layer
197,19960,layer
198,19960,layer
199,19980,layer
200,19980,layer
201,19960,layer
202,19944,layer
203,19947,layer
204,19960,layer
205,19960,layer
206,19980,layer
207,19960,layer
208,19953,layer
209,19960,layer
210,19964,layer
211,20040,layer
212,20036,layer
213,20000,layer
214,19992,layer
215,19984,layer
216,19960,layer
217,19940,layer
218,19960,layer
219,19960,layer
220,19980,layer
221,19980,layer
222,19986,layer
223,19996,layer
224,19980,layer
225,20004,layer
226,19980,layer
227,19980,layer
228,20000,layer
229,19980,layer
230,19980,layer
231,19964,layer
232,19955,layer
233,19980,layer
234,19920,layer
235,19883,layer
236,19878,layer
237,19864,layer
238,19889,layer
239,19960,layer
240,19996,layer
241,19977,layer
242,19960,layer
243,19960,layer
244,19962,layer
245,19960,layer
