,RO_VALUE,LAYER_OR_BOUNDARY
0,19980,layer
1,20002,layer
2,20004,layer
3,19984,layer
4,20000,layer
5,19991,layer
6,20015,layer
7,20006,layer
8,20000,layer
9,20006,layer
10,20000,layer
11,20000,layer
12,20000,layer
13,20020,layer
14,20020,layer
15,20004,layer
16,20000,layer
17,19984,layer
18,20000,layer
19,20000,layer
20,20000,layer
21,20000,layer
22,20000,layer
23,20000,layer
24,20004,layer
25,20020,layer
26,20000,layer
27,20000,layer
28,20000,layer
29,20004,layer
30,20020,layer
31,20002,layer
32,20000,layer
33,20000,layer
34,19992,layer
35,19997,layer
36,20004,layer
37,20000,layer
38,20004,layer
39,20006,layer
40,19984,layer
41,20000,layer
42,20000,layer
43,20004,layer
44,20004,layer
45,20000,layer
46,20000,layer
47,20000,layer
48,20000,layer
49,20000,layer
50,20000,layer
51,20000,layer
52,20000,layer
53,20013,layer
54,20004,layer
55,20016,layer
56,20013,layer
57,20013,layer
58,20000,layer
59,19996,layer
60,19980,layer
61,19980,layer
62,20000,layer
63,19986,layer
64,19984,layer
65,20004,layer
66,20006,layer
67,20020,layer
68,20003,layer
69,20000,layer
70,19993,layer
71,20000,layer
72,20000,layer
73,20000,layer
74,20000,layer
75,20000,layer
76,20000,layer
77,20005,layer
78,19998,layer
79,20000,layer
80,20006,layer
81,20000,layer
82,20000,layer
83,20000,layer
84,20000,layer
85,20000,layer
86,19991,layer
87,20000,layer
88,20000,layer
89,20000,layer
90,19997,layer
91,20007,layer
92,20000,layer
93,20000,layer
94,20000,layer
95,20000,layer
96,20000,layer
97,19980,layer
98,19993,layer
99,20014,layer
100,20013,layer
101,20000,layer
102,20000,layer
103,19986,layer
104,20000,layer
105,20000,layer
106,20020,layer
107,20020,layer
108,20006,layer
109,20000,layer
110,19991,layer
111,20004,layer
112,20006,layer
113,20020,layer
114,20014,layer
115,19988,layer
116,20000,layer
117,20000,layer
118,20000,layer
119,20000,layer
120,20000,layer
121,20000,layer
122,20000,layer
123,20013,layer
124,20020,layer
125,20000,layer
126,20000,layer
127,20000,layer
128,20000,layer
129,20000,layer
130,20000,layer
131,20000,layer
132,20000,layer
133,20000,layer
134,20006,layer
135,20013,layer
136,20004,layer
137,20000,layer
138,20006,layer
139,20016,layer
140,20020,layer
141,20004,layer
142,20000,layer
143,20000,layer
144,20000,layer
145,20000,layer
146,20020,layer
147,20000,layer
148,19984,layer
149,20000,layer
150,20006,layer
151,20020,layer
152,20009,layer
153,20004,layer
154,20000,layer
155,19984,layer
156,19990,layer
157,20000,layer
158,20002,layer
159,20000,layer
160,20000,layer
161,20020,layer
162,20006,layer
163,20000,layer
164,20000,layer
165,20000,layer
166,20000,layer
167,20000,layer
168,20004,layer
169,20000,layer
170,20002,layer
171,20004,layer
172,20000,layer
173,20020,layer
174,20009,layer
175,20006,layer
176,20004,layer
177,20016,layer
178,20000,layer
179,20000,layer
180,20000,layer
181,19992,layer
182,19984,layer
183,19980,layer
184,19980,layer
185,20000,layer
186,20000,layer
187,20006,layer
188,20000,layer
189,20000,layer
190,20013,layer
191,20002,layer
192,20000,layer
193,20006,layer
194,20008,layer
195,20020,layer
196,20015,layer
197,20004,layer
198,20004,layer
199,20004,layer
200,20014,layer
201,20000,layer
202,19982,layer
203,19964,layer
204,19980,layer
205,20000,layer
206,20000,layer
207,20000,layer
208,20000,layer
209,20000,layer
210,20018,layer
211,20000,layer
212,20000,layer
213,20000,layer
214,20000,layer
215,19980,layer
216,20000,layer
217,20000,layer
218,20020,layer
219,20000,layer
220,20000,layer
221,19970,layer
222,20020,layer
223,20000,layer
224,20000,layer
225,19996,layer
226,20004,layer
227,19980,layer
228,20004,layer
229,19987,layer
230,20020,layer
231,20006,layer
232,20004,layer
233,20000,layer
234,20000,layer
235,19996,layer
236,20000,layer
237,20000,layer
