,RO_VALUE,LAYER_OR_BOUNDARY
0,20000,layer
1,20002,layer
2,20004,layer
3,19982,layer
4,20004,layer
5,20004,layer
6,20004,layer
7,20000,layer
8,20004,layer
9,20000,layer
10,20000,layer
11,20004,layer
12,20020,layer
13,20020,layer
14,20000,layer
15,19995,layer
16,19996,layer
17,20000,layer
18,20020,layer
19,20004,layer
20,20004,layer
21,20004,layer
22,20005,layer
23,20004,layer
24,20013,layer
25,20004,layer
26,20004,layer
27,20000,layer
28,20004,layer
29,20013,layer
30,20020,layer
31,20000,layer
32,20000,layer
33,20004,layer
34,20004,layer
35,20020,layer
36,20014,layer
37,20000,layer
38,20004,layer
39,20020,layer
40,20000,layer
41,20020,layer
42,20000,layer
43,20000,layer
44,20014,layer
45,20014,layer
46,20009,layer
47,20006,layer
48,20000,layer
49,20004,layer
50,20018,layer
51,20020,layer
52,20000,layer
53,20004,layer
54,20004,layer
55,20004,layer
56,20000,layer
57,20006,layer
58,20015,layer
59,20004,layer
60,20004,layer
61,20004,layer
62,20006,layer
63,20020,layer
64,20004,layer
65,19888,layer
66,19850,layer
67,20020,layer
68,20004,layer
69,20000,layer
70,19964,layer
71,19964,layer
72,19980,layer
73,19987,layer
74,20000,layer
75,20000,layer
76,19966,layer
77,19984,layer
78,19980,layer
79,19844,layer
80,19840,layer
81,19884,layer
82,20004,layer
83,20020,layer
84,20004,layer
85,20000,layer
86,19980,layer
87,19982,layer
88,20000,layer
89,19960,layer
90,19964,layer
91,19984,layer
92,20004,layer
93,19980,layer
94,19978,layer
95,19980,layer
96,19966,layer
97,19980,layer
98,20000,layer
99,19960,layer
100,19862,layer
101,19858,layer
102,19884,layer
103,20033,layer
104,20006,layer
105,20000,layer
106,20011,layer
107,20004,layer
108,19978,layer
109,19980,layer
110,19980,layer
111,19984,layer
112,20018,layer
113,20000,layer
114,19976,layer
115,19840,layer
116,19844,layer
117,19940,layer
118,20000,layer
119,20000,layer
120,20000,layer
121,19980,layer
122,19978,layer
123,19980,layer
124,19980,layer
125,19988,layer
126,20004,layer
127,19992,layer
128,19980,layer
129,19883,layer
130,19840,layer
131,19840,layer
132,19863,layer
133,20016,layer
134,20020,layer
135,19968,layer
136,19997,layer
137,19980,layer
138,19998,layer
139,20009,layer
140,20000,layer
141,20000,layer
142,19980,layer
143,19920,layer
144,19858,layer
145,19860,layer
146,19840,layer
147,19982,layer
148,20008,layer
149,20000,layer
150,20000,layer
151,19980,layer
152,20000,layer
153,19982,layer
154,19980,layer
155,20000,layer
156,20020,layer
157,20005,layer
158,19978,layer
159,19980,layer
160,20000,layer
161,20000,layer
162,19980,layer
163,19980,layer
164,19926,layer
165,19860,layer
166,19860,layer
167,19880,layer
168,20038,layer
169,20020,layer
170,19984,layer
171,19978,layer
172,19980,layer
173,19987,layer
174,20005,layer
175,19982,layer
176,19996,layer
177,20052,layer
178,19980,layer
179,20007,layer
180,19840,layer
181,19844,layer
182,19864,layer
183,20020,layer
184,20024,layer
185,20000,layer
186,20004,layer
187,19976,layer
188,19980,layer
189,19984,layer
190,19982,layer
191,19980,layer
192,19980,layer
193,19984,layer
194,20000,layer
195,19840,layer
196,19840,layer
197,19840,layer
198,19884,layer
199,20020,layer
200,20000,layer
201,19980,layer
202,19980,layer
203,19980,layer
204,19980,layer
205,20004,layer
206,19992,layer
207,19980,layer
208,19980,layer
209,19984,layer
210,19840,layer
211,19844,layer
212,19860,layer
213,19883,layer
214,20000,layer
215,20020,layer
216,19986,layer
217,19999,layer
218,19980,layer
219,20020,layer
220,19978,layer
221,19980,layer
222,20000,layer
223,19992,layer
224,19980,layer
225,19984,layer
226,19964,layer
227,19980,layer
228,19980,layer
229,19976,layer
230,20000,layer
231,19900,layer
232,19840,layer
233,19860,layer
234,19880,layer
235,20020,layer
236,20004,layer
237,20000,layer
238,19980,layer
239,20004,layer
240,19980,layer
241,20000,layer
242,19980,layer
243,19980,layer
244,19984,layer
245,20000,layer
246,19940,layer
247,19820,layer
248,19851,layer
249,19876,layer
250,20020,layer
251,20020,layer
252,20005,layer
253,20000,layer
254,20000,layer
255,19973,layer
256,19960,layer
257,19967,layer
258,19980,layer
259,20005,layer
260,20000,layer
261,19998,layer
262,19847,layer
263,19860,layer
264,19860,layer
265,20011,layer
266,20020,layer
267,20000,layer
268,19980,layer
269,19980,layer
270,20010,layer
271,19992,layer
272,19980,layer
273,19973,layer
274,19984,layer
275,19995,layer
276,20002,layer
277,19860,layer
278,19824,layer
279,19854,layer
280,19864,layer
281,20014,layer
282,20020,layer
283,19991,layer
284,19984,layer
285,19980,layer
286,20019,layer
287,19980,layer
288,19980,layer
289,19972,layer
290,19993,layer
291,19980,layer
292,20004,layer
293,20000,layer
294,19988,layer
295,19980,layer
296,19980,layer
297,19980,layer
298,19860,layer
299,19860,layer
300,19864,layer
301,19960,layer
302,20004,layer
303,20000,layer
304,20000,layer
305,19984,layer
306,19980,layer
307,19980,layer
308,19980,layer
309,19980,layer
310,19968,layer
311,20000,layer
312,19980,layer
313,19840,layer
314,19864,layer
315,19860,layer
316,20040,layer
317,20004,layer
318,20000,layer
319,20000,layer
320,19986,layer
321,19984,layer
322,19980,layer
323,20004,layer
324,19998,layer
325,19997,layer
326,19924,layer
327,19840,layer
328,19854,layer
329,19860,layer
330,20040,layer
331,20009,layer
332,20000,layer
333,20000,layer
334,19987,layer
335,20001,layer
336,20000,layer
337,20000,layer
338,20000,layer
339,19980,layer
340,19980,layer
341,20000,layer
342,19864,layer
343,19840,layer
344,19860,layer
345,19940,layer
346,20027,layer
347,20005,layer
348,19980,layer
349,19968,layer
350,20000,layer
351,19980,layer
352,19987,layer
353,19996,layer
354,19999,layer
355,19980,layer
356,19984,layer
357,20020,layer
358,20000,layer
359,19984,layer
360,19980,layer
361,19944,layer
362,19844,layer
363,19864,layer
364,19864,layer
365,20026,layer
366,20006,layer
367,20020,layer
368,20000,layer
369,19984,layer
370,19984,layer
371,19982,layer
372,20003,layer
373,20000,layer
374,20000,layer
375,19980,layer
376,19980,layer
377,19860,layer
378,19904,layer
379,20000,layer
380,20000,layer
381,20000,layer
382,20001,layer
383,20000,layer
384,19984,layer
385,19980,layer
386,19991,layer
387,20000,layer
388,20002,layer
389,20012,layer
390,19880,layer
391,19857,layer
392,19894,layer
393,20040,layer
394,20004,layer
395,20000,layer
396,19984,layer
397,19980,layer
398,20004,layer
399,20005,layer
400,20000,layer
401,20000,layer
402,19984,layer
403,19980,layer
404,19963,layer
405,19840,layer
406,19880,layer
407,20013,layer
408,20024,layer
409,20004,layer
410,19980,layer
411,19979,layer
