,RO_VALUE,LAYER_OR_BOUNDARY
0,20006,layer
1,20000,layer
2,20000,layer
3,19980,layer
4,19984,layer
5,20005,layer
6,19991,layer
7,19998,layer
8,20000,layer
9,19980,layer
10,19980,layer
11,20010,layer
12,20000,layer
13,20000,layer
14,19980,layer
15,19980,layer
16,20000,layer
17,20000,layer
18,19984,layer
19,19980,layer
20,19978,layer
21,19984,layer
22,20000,layer
23,20005,layer
24,19984,layer
25,20000,layer
26,19984,layer
27,19984,layer
28,20000,layer
29,20004,layer
30,19980,layer
31,20000,layer
32,20000,layer
33,20000,layer
34,19982,layer
35,19984,layer
36,19992,layer
37,19984,layer
38,20000,layer
39,20000,layer
40,20000,layer
41,20000,layer
42,19984,layer
43,19984,layer
44,19984,layer
45,19984,layer
46,19980,layer
47,20000,layer
48,19980,layer
49,19980,layer
50,20000,layer
51,20000,layer
52,20004,layer
53,19991,layer
54,19984,layer
55,19984,layer
56,19982,layer
57,19980,layer
58,20000,layer
59,19973,layer
60,19980,layer
61,20000,layer
62,20003,layer
63,19993,layer
64,20000,layer
65,20000,layer
66,19937,layer
67,19944,layer
68,19960,layer
69,19980,layer
70,19952,layer
71,19940,layer
72,19963,layer
73,19940,layer
74,19920,layer
75,20013,layer
76,19978,layer
77,19980,layer
78,19980,layer
79,20000,layer
80,19987,layer
81,19987,layer
82,19980,layer
83,20000,layer
84,19960,layer
85,20000,layer
86,19980,layer
87,19940,layer
88,19959,layer
89,19960,layer
90,19998,layer
91,19980,layer
92,19980,layer
93,19980,layer
94,19980,layer
95,19959,layer
96,19979,layer
97,19980,layer
98,19980,layer
99,19980,layer
100,19978,layer
101,19980,layer
102,19982,layer
103,19840,layer
104,19840,layer
105,19860,layer
106,19886,layer
107,19940,layer
108,19944,layer
109,19940,layer
110,19957,layer
111,19980,layer
112,20000,layer
113,19964,layer
114,19937,layer
115,19920,layer
116,19900,layer
117,20020,layer
118,20000,layer
119,20004,layer
120,20000,layer
121,20000,layer
122,19998,layer
123,19992,layer
124,20000,layer
125,19983,layer
126,19960,layer
127,19982,layer
128,19984,layer
129,19946,layer
130,19960,layer
131,19980,layer
132,19984,layer
133,19980,layer
134,20005,layer
135,19980,layer
136,19980,layer
137,19966,layer
138,19977,layer
139,19984,layer
140,20011,layer
141,19980,layer
142,19964,layer
143,19960,layer
144,19978,layer
145,19924,layer
146,19860,layer
147,19860,layer
148,19864,layer
149,19884,layer
150,19900,layer
151,19934,layer
152,19985,layer
153,19960,layer
154,19964,layer
155,19948,layer
156,19940,layer
157,19940,layer
158,19920,layer
159,20016,layer
160,19982,layer
161,19968,layer
162,19980,layer
163,19998,layer
164,19980,layer
165,20000,layer
166,20000,layer
167,19980,layer
168,19964,layer
169,19984,layer
170,20003,layer
171,19963,layer
172,19964,layer
173,19980,layer
174,20000,layer
175,20005,layer
176,19980,layer
177,19980,layer
178,19980,layer
179,20004,layer
180,19980,layer
181,19982,layer
182,20000,layer
183,19980,layer
184,19960,layer
185,19964,layer
186,19960,layer
187,19843,layer
188,19845,layer
189,19860,layer
190,19880,layer
191,19968,layer
192,19944,layer
193,19920,layer
194,19926,layer
195,19944,layer
196,19940,layer
197,19944,layer
198,19960,layer
199,19930,layer
200,19940,layer
201,20020,layer
202,20000,layer
203,19987,layer
204,19968,layer
205,20000,layer
206,20000,layer
207,19978,layer
208,19982,layer
209,19980,layer
210,19980,layer
211,19980,layer
212,20020,layer
213,19960,layer
214,19960,layer
215,19964,layer
216,20004,layer
217,20005,layer
218,19986,layer
219,19960,layer
220,19947,layer
221,19960,layer
222,19964,layer
223,19980,layer
224,19986,layer
225,19980,layer
226,20000,layer
227,19967,layer
228,19946,layer
229,19860,layer
230,19860,layer
231,19880,layer
232,19880,layer
233,19924,layer
234,19931,layer
235,19940,layer
236,19924,layer
237,19931,layer
238,19940,layer
239,19957,layer
240,19960,layer
241,19964,layer
242,19960,layer
243,20020,layer
244,20000,layer
245,19958,layer
246,19982,layer
247,20000,layer
248,20004,layer
249,20000,layer
250,19980,layer
251,19980,layer
252,20000,layer
253,20000,layer
254,19968,layer
255,19994,layer
256,20014,layer
257,20000,layer
258,19984,layer
259,19984,layer
260,20006,layer
261,20000,layer
262,20000,layer
263,20004,layer
264,20020,layer
265,20000,layer
266,19992,layer
267,19980,layer
268,20000,layer
269,20000,layer
270,20004,layer
271,19968,layer
272,20000,layer
273,20000,layer
274,20000,layer
275,19996,layer
276,19980,layer
277,19980,layer
278,19984,layer
279,20000,layer
280,20000,boundary
281,19992,layer
282,19950,layer
283,19978,layer
284,19960,layer
285,19960,layer
286,19980,layer
287,19980,layer
288,19997,layer
289,19964,layer
290,19840,layer
291,19752,layer
292,19860,layer
293,19900,layer
294,19940,layer
295,19960,layer
296,19980,layer
297,20039,layer
298,19984,layer
299,19980,layer
300,19980,layer
301,19964,layer
302,19964,layer
303,19980,layer
304,19860,layer
305,19824,layer
306,19844,layer
307,19868,layer
308,19926,layer
309,19966,layer
310,19980,layer
311,20020,layer
312,19980,layer
313,19980,layer
314,19967,layer
315,19980,layer
316,19958,layer
317,19984,layer
318,19840,layer
319,19880,layer
320,19892,layer
321,19999,layer
322,20000,layer
323,19980,layer
324,19966,layer
325,20020,layer
326,19980,layer
327,19980,layer
328,19982,layer
329,19980,layer
330,20000,layer
331,19819,layer
332,19860,layer
333,19884,layer
334,19946,layer
335,19980,layer
336,19980,layer
337,19964,layer
338,20020,layer
339,19980,layer
340,19982,layer
341,19980,layer
342,19984,layer
343,19980,layer
344,19960,layer
345,19820,layer
346,19824,layer
347,19899,layer
348,19963,layer
349,19980,layer
350,19978,layer
351,19960,layer
352,20042,layer
353,20020,layer
354,19997,layer
355,19960,layer
356,19977,layer
357,19980,layer
358,19980,layer
359,19840,layer
360,19824,layer
361,19880,layer
362,19940,layer
363,20005,layer
364,19980,layer
365,19980,layer
366,20040,layer
367,19980,layer
368,19980,layer
369,19974,layer
370,19980,layer
371,19980,layer
372,20004,layer
373,19824,layer
374,19824,layer
375,19860,layer
376,19926,layer
377,19975,layer
378,19984,layer
379,19960,layer
380,20020,layer
381,19960,layer
382,19960,layer
383,19980,layer
384,19980,layer
385,20000,layer
386,20004,layer
387,19880,layer
388,19820,layer
389,19833,layer
390,19880,layer
391,19980,layer
392,19980,layer
393,19701,layer
394,20040,layer
395,19958,layer
396,19980,layer
397,20020,layer
398,19980,layer
399,19964,layer
400,19884,layer
401,19825,layer
402,19840,layer
403,19844,layer
404,19960,layer
405,20000,layer
406,19964,layer
407,20044,layer
408,19980,layer
409,19967,layer
410,19960,layer
411,19976,layer
412,19980,layer
413,19992,layer
414,19880,layer
415,19798,layer
416,19840,layer
417,19860,layer
418,19960,layer
419,20014,layer
420,19964,layer
421,20046,layer
422,19998,layer
423,19984,layer
424,19978,layer
425,19992,layer
426,19980,layer
427,19980,layer
428,19886,layer
429,19840,layer
430,19846,layer
431,19840,layer
432,19900,layer
433,20000,layer
434,19982,layer
435,20060,layer
436,19992,layer
437,19980,layer
438,19980,layer
439,19980,layer
440,19977,layer
441,19988,layer
442,19900,layer
443,19800,layer
444,19840,layer
445,19860,layer
446,19880,layer
447,20004,layer
448,20000,layer
449,20040,layer
450,19976,layer
451,19980,layer
452,19980,layer
453,20000,layer
454,20000,layer
455,19980,layer
456,19900,layer
457,19820,layer
458,19839,layer
459,19846,layer
460,19860,layer
461,19924,layer
462,20006,layer
463,20068,layer
464,20000,layer
465,19980,layer
466,20000,layer
467,19976,layer
468,19980,layer
469,20000,layer
470,19884,layer
471,19820,layer
472,19865,layer
473,19864,layer
474,19884,layer
475,19980,layer
476,20048,layer
477,20000,layer
478,19980,layer
479,19980,layer
480,19992,layer
481,19997,layer
482,20084,layer
483,19920,layer
484,19932,layer
485,19840,layer
486,19856,layer
487,19884,layer
488,19940,layer
489,20040,layer
490,20032,layer
491,19980,layer
492,19980,layer
493,19986,layer
494,19980,layer
495,20000,layer
496,19978,layer
497,19958,layer
498,19824,layer
499,19840,layer
500,19866,layer
501,19920,layer
502,19940,layer
503,19960,layer
504,20073,layer
505,20020,layer
506,19980,layer
507,19960,layer
508,19960,layer
509,19980,layer
510,19984,layer
511,19960,layer
512,19820,layer
513,19824,layer
514,19860,layer
515,19880,layer
516,19920,layer
517,19960,layer
518,20059,layer
519,20020,layer
520,19980,layer
521,19964,layer
522,19960,layer
523,19980,layer
524,20000,layer
525,19966,layer
526,19888,layer
527,19840,layer
528,19860,layer
529,19900,layer
530,19940,layer
531,19960,layer
532,20040,layer
533,20044,layer
534,20020,layer
535,20004,layer
536,19980,layer
537,19980,layer
538,19990,layer
539,19980,layer
540,19836,layer
541,19840,layer
542,19840,layer
543,19840,layer
544,19880,layer
545,19900,layer
546,20009,layer
547,20060,layer
548,19998,layer
549,19980,layer
550,20010,layer
551,19997,layer
552,19980,layer
553,19960,layer
554,19824,layer
555,19860,layer
556,19849,layer
557,19860,layer
558,19882,layer
559,19892,layer
560,20013,layer
561,20076,layer
562,20016,layer
563,19982,layer
564,19980,layer
565,19980,layer
566,19976,layer
567,19980,layer
568,19820,layer
569,19820,layer
570,19852,layer
571,19860,layer
572,19900,layer
573,19920,layer
574,20016,layer
575,20060,layer
