,RO_VALUE,LAYER_OR_BOUNDARY
0,19980,layer
1,19980,layer
2,19980,layer
3,19984,layer
4,19978,layer
5,20020,layer
6,20000,layer
7,20000,layer
8,19984,layer
9,20000,layer
10,19988,layer
11,20001,layer
12,19988,layer
13,20000,layer
14,20004,layer
15,19980,layer
16,20004,layer
17,20004,layer
18,20004,layer
19,20020,layer
20,20000,layer
21,20000,layer
22,20000,layer
23,19984,layer
24,19983,layer
25,19984,layer
26,19978,layer
27,20004,layer
28,20000,layer
29,20000,layer
30,20000,layer
31,20000,layer
32,20013,layer
33,20000,layer
34,20005,layer
35,19980,layer
36,19984,layer
37,20004,layer
38,20014,layer
39,20000,layer
40,20000,layer
41,20000,layer
42,20000,layer
43,20007,layer
44,20014,layer
45,19984,layer
46,19986,layer
47,20000,layer
48,20000,layer
49,20004,layer
50,20000,layer
51,19980,layer
52,19980,layer
53,19980,layer
54,19980,layer
55,20004,layer
56,20000,layer
57,20000,layer
58,19996,layer
59,20000,layer
60,20002,layer
61,20017,layer
62,20000,layer
63,20000,layer
64,20000,layer
65,20000,layer
66,20000,layer
67,20000,layer
68,19980,layer
69,20000,layer
70,20009,layer
71,20004,layer
72,19998,layer
73,19980,layer
74,19980,layer
75,20000,layer
76,20000,layer
77,19993,layer
78,19980,layer
79,19980,layer
80,20000,layer
81,20006,layer
82,20004,layer
83,19986,layer
84,19982,layer
85,20000,layer
86,20026,layer
87,20020,layer
88,20006,layer
89,20004,layer
90,20000,layer
91,20000,layer
92,20000,layer
93,19978,layer
94,19980,layer
95,19984,layer
96,20025,layer
97,20000,layer
98,19940,layer
99,19953,layer
100,19940,layer
101,19960,layer
102,20004,layer
103,19980,layer
104,20000,layer
105,20000,layer
106,20000,layer
107,19980,layer
108,19980,layer
109,19980,layer
110,19993,layer
111,19840,layer
112,19840,layer
113,19860,layer
114,19978,layer
115,20020,layer
116,20000,layer
117,20005,layer
118,20000,layer
119,19998,layer
120,20000,layer
121,19996,layer
122,19984,layer
123,19978,layer
124,19992,layer
125,20000,layer
126,19860,layer
127,19888,layer
128,19846,layer
129,19880,layer
130,20020,layer
131,20014,layer
132,20000,layer
133,19980,layer
134,19984,layer
135,20011,layer
136,20000,layer
137,20000,layer
138,19980,layer
139,19980,layer
140,20000,layer
141,19920,layer
142,19840,layer
143,19860,layer
144,19884,layer
145,20040,layer
146,20014,layer
147,20000,layer
148,19968,layer
149,19980,layer
150,19998,layer
151,20000,layer
152,20005,layer
153,20000,layer
154,19980,layer
155,19969,layer
156,19980,layer
157,19849,layer
158,19840,layer
159,19860,layer
160,19960,layer
161,20000,layer
162,20004,layer
163,20000,layer
164,20000,layer
165,19968,layer
166,19980,layer
167,19964,layer
168,19978,layer
169,20000,layer
170,20000,layer
171,19980,layer
172,19976,layer
173,20018,layer
174,19976,layer
175,20000,layer
176,20000,layer
177,19898,layer
178,19844,layer
179,19844,layer
180,19860,layer
181,20040,layer
182,20020,layer
183,20000,layer
184,20011,layer
185,19992,layer
186,19987,layer
187,19986,layer
188,19980,layer
189,19966,layer
190,19984,layer
191,19980,layer
192,20000,layer
193,19844,layer
194,19840,layer
195,19880,layer
196,20018,layer
197,20020,layer
198,20000,layer
199,19980,layer
200,19978,layer
201,19984,layer
202,19988,layer
203,19980,layer
204,19996,layer
205,20000,layer
206,19968,layer
207,19980,layer
208,19860,layer
209,19840,layer
210,19860,layer
211,19923,layer
212,20020,layer
213,20006,layer
214,19986,layer
215,19980,layer
216,19980,layer
217,19980,layer
218,19999,layer
219,19997,layer
220,20000,layer
221,19980,layer
222,19900,layer
223,19854,layer
224,19860,layer
225,19860,layer
226,19988,layer
227,20000,layer
228,20000,layer
229,20000,layer
230,19984,layer
231,20000,layer
232,19980,layer
233,19986,layer
234,19980,layer
235,20005,layer
236,20000,layer
237,19980,layer
238,19980,layer
239,20053,layer
240,20000,layer
241,20004,layer
242,20000,layer
243,19860,layer
244,19840,layer
245,19840,layer
246,19900,layer
247,20020,layer
248,20004,layer
249,20000,layer
250,20000,layer
251,19976,layer
252,19980,layer
253,19980,layer
254,19980,layer
255,19984,layer
256,19980,layer
257,19980,layer
258,19938,layer
259,19844,layer
260,19840,layer
261,19860,layer
262,20038,layer
263,20020,layer
264,20000,layer
265,19980,layer
266,19980,layer
267,20005,layer
268,20000,layer
269,20000,layer
270,19980,layer
271,19993,layer
272,20000,layer
273,19980,layer
274,19859,layer
275,19840,layer
276,19849,layer
277,20000,layer
278,20013,layer
279,20020,layer
280,20000,layer
281,19980,layer
282,19960,layer
283,19980,layer
284,19976,layer
285,20000,layer
286,20000,layer
287,19958,layer
288,19980,layer
289,19859,layer
290,19844,layer
291,19860,layer
292,19880,layer
293,20000,layer
294,20019,layer
295,20000,layer
296,19984,layer
297,19978,layer
298,19984,layer
299,19980,layer
300,20001,layer
301,20003,layer
302,19980,layer
303,19978,layer
304,19964,layer
305,19984,layer
306,19986,layer
307,20000,layer
308,19992,layer
309,19980,layer
310,19840,layer
311,19840,layer
312,19860,layer
313,20040,layer
314,20026,layer
315,20000,layer
316,19980,layer
317,20000,layer
318,20000,layer
319,20005,layer
320,19980,layer
321,19980,layer
322,19978,layer
323,20000,layer
324,20000,layer
325,19864,layer
326,19824,layer
327,19840,layer
328,19880,layer
329,20020,layer
330,20020,layer
331,20000,layer
332,19987,layer
333,19980,layer
334,19980,layer
335,19980,layer
336,19960,layer
337,19980,layer
338,19960,layer
339,19980,layer
340,19963,layer
341,19858,layer
342,19841,layer
343,19860,layer
344,20040,layer
