,RO_VALUE,LAYER_OR_BOUNDARY
0,19994,layer
1,20004,layer
2,20000,layer
3,20000,layer
4,20000,layer
5,19976,layer
6,20000,layer
7,20004,layer
8,20002,layer
9,20002,layer
10,20000,layer
11,20000,layer
12,20020,layer
13,20004,layer
14,20006,layer
15,20000,layer
16,20006,layer
17,20006,layer
18,20020,layer
19,20000,layer
20,20020,layer
21,20000,layer
22,20004,layer
23,20013,layer
24,20006,layer
25,20000,layer
26,20000,layer
27,20000,layer
28,19984,layer
29,20004,layer
30,20020,layer
31,20020,layer
32,20000,layer
33,20000,layer
34,20016,layer
35,20004,layer
36,20017,layer
37,20004,layer
38,20004,layer
39,20004,layer
40,20004,layer
41,20004,layer
42,20016,layer
43,20020,layer
44,20004,layer
45,20006,layer
46,20004,layer
47,20000,layer
48,20004,layer
49,20006,layer
50,20006,layer
51,20020,layer
52,20020,layer
53,20000,layer
54,20000,layer
55,20004,layer
56,20004,layer
57,20014,layer
58,20020,layer
59,20017,layer
60,20000,layer
61,20020,layer
62,20009,layer
63,20019,layer
64,20000,layer
65,20000,layer
66,20004,layer
67,20004,layer
68,20000,layer
69,20000,layer
70,20002,layer
71,20000,layer
72,20004,layer
73,20020,layer
74,20020,layer
75,20013,layer
76,20006,layer
77,20004,layer
78,20006,layer
79,20002,layer
80,20013,layer
81,20007,layer
82,20000,layer
83,20000,layer
84,20009,layer
85,20009,layer
86,20014,layer
87,20006,layer
88,20006,layer
89,20000,layer
90,20002,layer
91,20006,layer
92,20004,layer
93,20004,layer
94,20004,layer
95,20018,layer
96,20015,layer
97,20000,layer
98,20000,layer
99,20000,layer
100,20019,layer
101,20016,layer
102,20014,layer
103,20000,layer
104,19980,layer
105,20000,layer
106,19984,layer
107,20000,layer
108,20016,layer
109,20006,layer
110,20004,layer
111,20004,layer
112,20000,layer
113,20000,layer
114,20000,layer
115,20000,layer
116,20004,layer
117,20006,layer
118,20004,layer
119,20004,layer
120,19984,layer
121,20000,layer
122,20000,layer
123,20000,layer
124,20018,layer
125,20006,layer
126,20020,layer
127,20000,layer
128,20014,layer
129,20004,layer
130,20013,layer
131,20020,layer
132,20000,layer
133,20000,layer
134,20000,layer
135,20000,layer
136,20002,layer
137,20004,layer
138,20016,layer
139,20015,layer
140,20019,layer
141,20004,layer
142,20004,layer
143,20004,layer
144,20004,layer
145,20004,layer
146,20006,layer
147,20020,layer
148,20004,layer
149,20000,layer
150,19984,layer
151,20014,layer
152,20006,layer
153,20000,layer
154,20000,layer
155,19976,layer
156,20000,layer
157,20000,layer
158,20004,layer
159,20007,layer
160,20000,layer
161,19991,layer
162,20004,layer
163,20001,layer
164,20004,layer
165,20000,layer
166,20005,layer
167,19980,layer
168,19980,layer
169,19984,layer
170,20000,layer
171,20000,layer
172,20000,layer
173,20000,layer
174,20004,layer
175,20004,layer
176,20000,layer
177,20014,layer
178,20004,layer
179,20000,layer
180,20000,layer
181,20000,layer
182,20020,layer
183,20020,layer
184,20020,layer
185,20000,layer
186,20000,layer
187,20000,layer
188,19980,layer
189,20000,layer
190,20014,layer
191,20020,layer
192,20013,layer
193,19968,layer
194,20000,layer
195,20016,layer
196,20020,layer
197,20012,layer
198,20004,layer
199,20000,layer
200,20016,layer
201,20000,layer
202,20000,layer
203,20000,layer
204,20000,layer
205,20000,layer
206,20006,layer
207,20008,layer
208,20004,layer
209,20020,layer
210,20006,layer
211,20015,layer
212,20020,layer
213,20020,layer
214,19988,layer
215,20004,layer
216,20019,layer
217,20020,layer
218,20000,layer
219,19980,layer
220,19980,layer
221,20000,layer
222,20000,layer
223,20000,layer
224,20000,layer
225,20004,layer
226,19994,layer
227,20004,layer
228,20020,layer
229,20006,layer
230,19994,layer
231,19984,layer
232,20000,layer
233,19977,layer
234,20046,layer
235,20020,layer
236,20020,layer
237,20004,layer
238,20018,layer
239,20020,layer
240,20020,layer
241,20020,layer
242,20000,layer
243,20020,layer
244,20019,layer
245,20006,layer
246,20020,layer
247,20007,layer
248,20009,layer
249,20004,layer
250,20013,layer
251,20020,layer
252,20000,layer
253,20000,layer
254,20000,layer
255,20000,layer
256,20000,layer
257,19980,layer
258,20004,layer
259,20004,layer
260,20003,layer
261,20011,layer
