449856	317.495	0	0	0	0	0	0	0	0	L-CR
275728	195.607	25088	17.798	3088	2.191	972	0.69	2048	1.453	EB-CBR
393600	264.856	25088	16.882	0	0	0	0	4096	2.756	L-CBR
323072	223.61	50176	34.729	0	0	0	0	8192	5.67	L-CBR
301568	211.24	25088	17.573	0	0	0	0	4096	2.869	E-CBR
374400	260.345	0	0	2256	1.569	968	0.673	0	0	B-CR
481408	352.571	0	0	0	0	0	0	0	0	L-CR
393472	289.305	12544	9.223	0	0	0	0	2048	1.506	L-CR
478720	348.611	12544	9.135	0	0	0	0	0	0	L-CR
508416	346.476	0	0	0	0	0	0	0	0	L-CR
262144	186.757	25088	17.873	512	0.365	0	0	2048	1.459	EB-CR
492672	349.046	0	0	976	0.691	968	0.686	0	0	L-CR
382592	273.834	25088	17.956	0	0	0	0	2048	1.466	L-CR
374016	269.505	25088	18.078	0	0	0	0	2048	1.476	E-CR
390912	273.798	0	0	1488	1.042	968	0.678	0	0	B-CR
386816	275.439	25088	17.864	0	0	0	0	2048	1.458	L-CR
471424	268.547	25088	14.291	0	0	0	0	2048	1.167	E-CR
418176	291.607	0	0	1488	1.038	968	0.675	0	0	B-CR
380288	272.923	25088	18.005	0	0	0	0	2048	1.47	L-CR
450816	322.414	0	0	0	0	0	0	1024	0.732	L-CR
149952	107.031	25088	17.907	13008	9.285	1584	1.131	1024	0.731	EB-CR
481104	306.264	0	0	0	0	0	0	0	0	L-CR
440128	312.791	0	0	0	0	0	0	0	0	L-CR
467520	308.939	0	0	0	0	0	0	0	0	L-CR
443456	316.036	0	0	0	0	0	0	0	0	L-CR
447040	316.019	0	0	0	0	0	0	0	0	L-CR
442560	316.257	0	0	0	0	0	0	0	0	L-CR
445504	316.87	0	0	0	0	0	0	0	0	L-CR
447760	316.552	0	0	0	0	0	0	0	0	L-CR
450784	317.069	0	0	0	0	0	0	0	0	L-CR
468176	310.859	0	0	0	0	0	0	0	0	L-CR
416816	295.101	8192	5.8	0	0	0	0	2048	1.45	L-CR
448320	315.996	0	0	0	0	0	0	0	0	L-CR
445632	316.251	0	0	0	0	0	0	0	0	L-CR
445504	315.848	0	0	0	0	0	0	0	0	L-CR
447408	317.725	0	0	0	0	0	0	0	0	L-CR
446400	316.549	0	0	0	0	0	0	0	0	L-CR
467536	310.49	0	0	0	0	0	0	0	0	L-CR
444608	315.692	0	0	0	0	0	0	0	0	L-CR
445744	317.672	0	0	0	0	0	0	0	0	L-CR
442944	316.224	0	0	0	0	0	0	0	0	L-CR
485968	314.752	0	0	0	0	0	0	0	0	L-CR
17024	11.834	8192	5.695	0	0	0	0	2048	1.424	E-CR
