load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
152064	150528	1168	36	1784832	(56, 56, 48)	(56, 56, 48)	(3, 3)	(1, 1)	(1, 1)
1236992	12544	2928	36	200704	(7, 7, 256)	(14, 14, 256)	(3, 3)	(2, 2)	(0, 0)
373824	12544	2928	36	200704	(7, 7, 256)	(14, 14, 256)	(3, 3)	(2, 2)	(0, 0)
158208	4704	672	16	75264	(7, 7, 96)	(14, 14, 96)	(2, 2)	(2, 2)	(0, 0)
281280	15552	400	16	235200	(18, 18, 48)	(35, 35, 48)	(2, 2)	(2, 2)	(0, 0)
312000	18496	816	36	313600	(17, 17, 64)	(35, 35, 64)	(3, 3)	(2, 2)	(0, 0)
375040	15552	400	16	235200	(18, 18, 48)	(35, 35, 48)	(2, 2)	(2, 2)	(0, 0)
4098160	16384	6256	16	200704	(4, 4, 1024)	(7, 7, 1024)	(2, 2)	(2, 2)	(0, 0)
591360	12288	1168	36	221952	(8, 8, 192)	(17, 17, 192)	(3, 3)	(2, 2)	(0, 0)
792576	9408	1248	16	150528	(7, 7, 192)	(14, 14, 192)	(2, 2)	(2, 2)	(0, 0)
165888	25088	1504	36	100352	(14, 14, 128)	(14, 14, 128)	(3, 3)	(1, 1)	(1, 1)
175104	25088	1072	36	100352	(28, 28, 32)	(28, 28, 32)	(3, 3)	(1, 1)	(1, 1)
917504	24576	4320	36	98304	(8, 8, 384)	(8, 8, 384)	(3, 3)	(1, 1)	(1, 1)
1619744	175232	14320	16	668800	(74, 74, 32)	(147, 147, 32)	(2, 2)	(2, 2)	(0, 0)
724992	25088	5744	36	401408	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(0, 0)
361568	103680	31792	36	425728	(36, 36, 80)	(73, 73, 80)	(3, 3)	(2, 2)	(0, 0)
1148928	100352	22640	36	401408	(7, 7, 2048)	(7, 7, 2048)	(3, 3)	(1, 1)	(1, 1)
4014080	802816	26736	36	1130496	(56, 56, 256)	(56, 56, 256)	(3, 3)	(1, 1)	(1, 1)
4458112	16384	6256	16	200704	(4, 4, 1024)	(7, 7, 1024)	(2, 2)	(2, 2)	(0, 0)
1229824	4608	5728	36	100352	(3, 3, 512)	(7, 7, 512)	(3, 3)	(2, 2)	(0, 0)
238656	6272	880	16	100352	(7, 7, 128)	(14, 14, 128)	(2, 2)	(2, 2)	(0, 0)
58944	93312	1504	36	373248	(27, 27, 128)	(27, 27, 128)	(3, 3)	(1, 1)	(1, 1)
301536	50176	2928	36	802816	(14, 14, 256)	(28, 28, 256)	(3, 3)	(2, 2)	(0, 0)
229376	50176	10864	16	802816	(28, 28, 64)	(56, 56, 64)	(2, 2)	(2, 2)	(0, 0)
3014208	5184	6432	36	112896	(3, 3, 576)	(7, 7, 576)	(3, 3)	(2, 2)	(0, 0)
140160	4704	672	16	75264	(7, 7, 96)	(14, 14, 96)	(2, 2)	(2, 2)	(0, 0)
174080	7056	1680	36	112896	(7, 7, 144)	(14, 14, 144)	(3, 3)	(2, 2)	(0, 0)
91040	3600	4496	36	78400	(3, 3, 400)	(7, 7, 400)	(3, 3)	(2, 2)	(0, 0)
2406528	110976	4336	36	443904	(17, 17, 384)	(17, 17, 384)	(3, 3)	(1, 1)	(1, 1)
509184	37632	8176	16	602112	(28, 28, 48)	(56, 56, 48)	(2, 2)	(2, 2)	(0, 0)
372800	31104	688	16	470400	(18, 18, 96)	(35, 35, 96)	(2, 2)	(2, 2)	(0, 0)
91136	125440	1872	36	501760	(28, 28, 160)	(28, 28, 160)	(3, 3)	(1, 1)	(1, 1)
8970528	401408	10352	16	131072	(56, 56, 128)	(112, 112, 128)	(2, 2)	(2, 2)	(0, 0)
2459648	25088	1744	36	100352	(7, 7, 512)	(7, 7, 512)	(3, 3)	(1, 1)	(1, 1)
2821120	1605632	26736	36	278528	(112, 112, 128)	(112, 112, 128)	(3, 3)	(1, 1)	(1, 1)
2980176	36864	11376	36	692224	(6, 6, 1024)	(13, 13, 1024)	(3, 3)	(2, 2)	(0, 0)
137376	93312	1520	36	373248	(27, 27, 128)	(27, 27, 128)	(3, 3)	(1, 1)	(1, 1)
3132416	24576	4336	36	98304	(8, 8, 384)	(8, 8, 384)	(3, 3)	(1, 1)	(1, 1)
